movieId,genre
46448,Romance
46447,Action
46446,Horror
46446,Mystery
46445,Comedy
46445,Drama
46445,Fantasy
46445,Mystery
46444,Animation
46444,Comedy
46443,Drama
46442,Action
46441,Comedy
46441,Romance
46440,Adventure
46440,Animation
46440,Family
46439,Comedy
46439,Romance
46438,Drama
46437,Adventure
46437,Drama
46437,Family
46437,Romance
46436,Action
46436,Comedy
46436,Horror
46435,Documentary
46435,News
46434,Horror
46433,Comedy
46432,Comedy
46432,Drama
46432,Romance
46430,Action
46430,Crime
46430,Thriller
46428,Action
46431,Documentary
46429,Comedy
46429,Drama
46429,Family
46429,Romance
46427,Comedy
46427,Romance
46426,Action
46426,Comedy
46425,Drama
46425,Musical
46424,Drama
46424,History
46424,War
46423,Action
46422,Thriller
46421,Thriller
46420,Biography
46420,Documentary
46420,Music
46419,Drama
46420,Biography
46420,Documentary
46420,Music
46419,Drama
46418,Crime
46418,Drama
46417,Documentary
46416,Drama
46415,Horror
46415,Mystery
46415,Romance
46414,Documentary
46413,Horror
46411,Action
46411,Comedy
46411,Horror
46411,Thriller
46412,Documentary
46410,Drama
46410,Horror
46410,Thriller
46409,Documentary
46408,Documentary
46407,Biography
46407,Drama
46406,Biography
46406,Drama
46405,Romance
46404,Thriller
46403,Drama
46402,Thriller
46401,Romance
46401,Sport
46400,Drama
46399,Action
46398,Biography
46398,Crime
46398,Drama
46397,Crime
46397,Documentary
46396,Comedy
46396,Drama
46396,Music
46395,Comedy
46395,Drama
46394,Drama
46393,Action
46392,Thriller
46391,Action
46391,Adventure
46391,Drama
46391,History
46391,Music
46390,Drama
46390,Romance
46389,Thriller
46388,Crime
46388,Mystery
46388,Thriller
46387,Crime
46387,Drama
46387,History
46387,Horror
46386,Drama
46385,Crime
46385,Thriller
46384,Crime
46384,Mystery
46384,Thriller
46383,Comedy
46383,Family
46383,Fantasy
46383,Musical
46383,Romance
46382,Thriller
46381,Drama
46381,Thriller
46380,Thriller
46379,Comedy
46379,Family
46378,Adventure
46378,Drama
46378,History
46377,Action
46377,Crime
46377,Thriller
46376,Action
46376,Adventure
46376,Crime
46376,Drama
46376,Mystery
46375,Comedy
46375,Drama
46375,Thriller
46374,Drama
46373,Family
46372,Action
46372,Comedy
46372,Drama
46372,Sci-Fi
46371,Action
46371,Thriller
